Type: PE
Buffering...
Parsing executable...
$ Lib Name: KERNEL32.dll
Entries:  829
206fc : FreeLibraryAndExitThread
215d8 : FreeResource
1e957 : FreeUserPhysicalPages
1fd71 : FreeVirtualBuffer
3c857 : GenerateConsoleCtrlEvent
47e0e : GetACP
10e7f : GetAtomNameA
aaaa : GetAtomNameW
2f2a0 : GetBinaryType
2f2a0 : GetBinaryTypeA
2f32f : GetBinaryTypeW
47e2c : GetCPInfo
3f249 : GetCPInfoExA
48057 : GetCPInfoExW
3e618 : GetCalendarInfoA
430b5 : GetCalendarInfoW
2e5a2 : GetCommConfig
2e72d : GetCommMask
2e7ab : GetCommModemStatus
2e829 : GetCommProperties
2e8da : GetCommState
2eb6d : GetCommTimeouts
26c9d : GetCommandLineA
26ca3 : GetCommandLineW
186ea : GetCompressedFileSizeA
1870b : GetCompressedFileSizeW
e10e : GetComputerNameA
e27b : GetComputerNameExA
dc84 : GetComputerNameExW
d75c : GetComputerNameW
38dc0 : GetConsoleAliasA
391ae : GetConsoleAliasExesA
38efa : GetConsoleAliasExesLengthA
38ef2 : GetConsoleAliasExesLengthW
3919c : GetConsoleAliasExesW
38d9b : GetConsoleAliasW
3906b : GetConsoleAliasesA
38e8d : GetConsoleAliasesLengthA
38e7f : GetConsoleAliasesLengthW
39055 : GetConsoleAliasesW
3ce01 : GetConsoleCP
3d285 : GetConsoleCharType
39532 : GetConsoleCommandHistoryA
393bf : GetConsoleCommandHistoryLengthA
393b1 : GetConsoleCommandHistoryLengthW
3951c : GetConsoleCommandHistoryW
3c430 : GetConsoleCursorInfo
3d450 : GetConsoleCursorMode
3ada3 : GetConsoleDisplayMode
3c5a3 : GetConsoleFontInfo
3c6c7 : GetConsoleFontSize
3ac7c : GetConsoleHardwareState
39865 : GetConsoleInputExeNameA
398e6 : GetConsoleInputExeNameW
3a133 : GetConsoleInputWaitHandle
3d02f : GetConsoleKeyboardLayoutNameA
3d03d : GetConsoleKeyboardLayoutNameW
3c114 : GetConsoleMode
3d09a : GetConsoleNlsMode
3cef2 : GetConsoleOutputCP
3c337 : GetConsoleScreenBufferInfo
396bf : GetConsoleTitleA
396de : GetConsoleTitleW
3d04b : GetConsoleWindow
3ecf1 : GetCurrencyFormatA
4ab3b : GetCurrencyFormatW
3c72f : GetCurrentConsoleFont
ead9 : GetCurrentDirectoryA
eb62 : GetCurrentDirectoryW
27767 : GetCurrentProcess
2776b : GetCurrentProcessId
b575 : GetCurrentThread
2b9ad : GetCurrentThreadId
3e92d : GetDateFormatA
4bcc6 : GetDateFormatW
2e005 : GetDefaultCommConfigA
2df29 : GetDefaultCommConfigW
4e233 : GetDefaultSortkeySize
24707 : GetDevicePowerState
23628 : GetDiskFreeSpaceA
2386e : GetDiskFreeSpaceExA
2389f : GetDiskFreeSpaceExW
2365c : GetDiskFreeSpaceW
22bb3 : GetDriveTypeA
22bdc : GetDriveTypeW
26d54 : GetEnvironmentStrings
26d54 : GetEnvironmentStringsA
26cca : GetEnvironmentStringsW
26e25 : GetEnvironmentVariableA
27098 : GetEnvironmentVariableW
268e1 : GetExitCodeProcess
2b977 : GetExitCodeThread
172ff : GetFileAttributesA
173ce : GetFileAttributesExA
173ee : GetFileAttributesExW
1731c : GetFileAttributesW
16692 : GetFileInformationByHandle
16ade : GetFileSize
16b19 : GetFileSizeEx
16781 : GetFileTime
15fd5 : GetFileType
e956 : GetFullPathNameA
eabb : GetFullPathNameW
1eb97 : GetHandleInformation
3c2d5 : GetLargestConsoleWindowSize
8245 : GetLastError
4e251 : GetLinguistLangSize
ec3d : GetLocalTime
3e454 : GetLocaleInfoA
40f80 : GetLocaleInfoW
23fdc : GetLogicalDriveStringsA
2406a : GetLogicalDriveStringsW
ec18 : GetLogicalDrives
31e50 : GetLongPathNameA
32023 : GetLongPathNameW
1f9b9 : GetMailslotInfo
208ba : GetModuleFileNameA
20742 : GetModuleFileNameW
20978 : GetModuleHandleA
20a85 : GetModuleHandleW
21e82 : GetNamedPipeHandleStateA
21f5e : GetNamedPipeHandleStateW
221d9 : GetNamedPipeInfo
2f586 : GetNextVDMCommand
4ebc1 : GetNlsSectionName
3eacf : GetNumberFormatA
4a8e3 : GetNumberFormatW
3c1cd : GetNumberOfConsoleFonts
3c21c : GetNumberOfConsoleInputEvents
3c4f3 : GetNumberOfConsoleMouseButtons
47e26 : GetOEMCP
1536e : GetOverlappedResult
27bb0 : GetPriorityClass
113f7 : GetPrivateProfileIntA
1166d : GetPrivateProfileIntW
115a6 : GetPrivateProfileSectionA
10ec3 : GetPrivateProfileSectionNamesA
10edc : GetPrivateProfileSectionNamesW
11825 : GetPrivateProfileSectionW
