Type: PE
Buffering...
Parsing executable...
$ Libraries Count: 14
Functions Count: 1333
609920 : USER32.dll.SetWindowTextW
609928 : USER32.dll.SetWindowRgn
609930 : USER32.dll.ScrollWindowEx
609938 : USER32.dll.UpdateWindow
609940 : USER32.dll.SetForegroundWindow
609948 : USER32.dll.UnhookWindowsHookEx
609950 : USER32.dll.AdjustWindowRectEx
609958 : USER32.dll.DestroyIcon
609960 : USER32.dll.CallNextHookEx
609968 : USER32.dll.GetClipboardFormatNameW
609970 : USER32.dll.GetAsyncKeyState
609978 : USER32.dll.RegisterClipboardFormatW
609980 : USER32.dll.CreateCursor
609988 : USER32.dll.CreateIconIndirect
609990 : USER32.dll.SetCursorPos
609998 : USER32.dll.DestroyCursor
6099a0 : USER32.dll.SetClipboardViewer
6099a8 : USER32.dll.ChangeClipboardChain
6099b0 : USER32.dll.GetClassInfoW
6099b8 : USER32.dll.LoadImageW
6099c0 : USER32.dll.GetSysColorBrush
6099c8 : USER32.dll.RegisterClassExW
6099d0 : USER32.dll.GetCursorPos
6099d8 : USER32.dll.GetWindowRgn
6099e0 : USER32.dll.UnregisterClassW
6099e8 : USER32.dll.GetSystemMetrics
6099f0 : USER32.dll.SendMessageW
6099f8 : USER32.dll.ClipCursor
609a00 : USER32.dll.IsIconic
609a08 : USER32.dll.GetUpdateRect
609a10 : USER32.dll.InvalidateRect
609a18 : USER32.dll.InvalidateRgn
609a20 : USER32.dll.BeginPaint
609a28 : USER32.dll.EndPaint
609a30 : USER32.dll.ClientToScreen
609a38 : USER32.dll.ScreenToClient
609a40 : USER32.dll.SetWindowPos
609a48 : USER32.dll.GetSysColor
609a50 : USER32.dll.SetCapture
609a58 : USER32.dll.GetDoubleClickTime
609a60 : USER32.dll.SetDoubleClickTime
609a68 : USER32.dll.SetCaretBlinkTime
609a70 : USER32.dll.PeekMessageW
609a78 : USER32.dll.PostMessageW
609a80 : USER32.dll.GetKeyState
609a88 : USER32.dll.ReleaseCapture
609a90 : USER32.dll.SetCursor
609a98 : USER32.dll.GetCaretBlinkTime
609aa0 : USER32.dll.FlashWindowEx
609aa8 : USER32.dll.MessageBeep
609ab0 : USER32.dll.WindowFromPoint
609ab8 : USER32.dll.GetParent
609ac0 : USER32.dll.ReleaseDC
609ac8 : USER32.dll.GetDC
609ad0 : USER32.dll.GetWindowLongW
609ad8 : USER32.dll.SetWindowLongW
609ae0 : USER32.dll.GetActiveWindow
609ae8 : USER32.dll.GetFocus
609af0 : USER32.dll.SetFocus
609af8 : USER32.dll.SystemParametersInfoW
609b00 : USER32.dll.IsChild
609b08 : USER32.dll.DefWindowProcW
606000 : ADVAPI32.dll.RegCloseKey
606008 : ADVAPI32.dll.RegOpenKeyExW
606010 : ADVAPI32.dll.RegQueryValueExW
6097d0 : SHELL32.dll.Shell_NotifyIconW
6097d8 : SHELL32.dll.ShellExecuteW
6097e0 : SHELL32.dll.SHGetFileInfoW
6066b0 : QtCore4.dll.?month@QDate@@QEBAHXZ
6066b8 : QtCore4.dll.?y@QPoint@@QEBAHXZ
6066c0 : QtCore4.dll.?x@QPoint@@QEBAHXZ
6066c8 : QtCore4.dll.?y@QPointF@@QEBANXZ
6066d0 : QtCore4.dll.?x@QPointF@@QEBANXZ
6066d8 : QtCore4.dll.??0QPointF@@QEAA@NN@Z
6066e0 : QtCore4.dll.??0QPoint@@QEAA@HH@Z
6066e8 : QtCore4.dll.??1QVariant@@QEAA@XZ
6066f0 : QtCore4.dll.??0QVariant@@QEAA@AEBV0@@Z
6066f8 : QtCore4.dll.?registerInterpolator@QVariantAnimation@@CAXP6A?AVQVariant@@PEBX0N@ZH@Z
606700 : QtCore4.dll.?tr@QMetaObject@@QEBA?AVQString@@PEBD0@Z
606708 : QtCore4.dll.?trUtf8@QMetaObject@@QEBA?AVQString@@PEBD0@Z
606710 : QtCore4.dll.?tr@QMetaObject@@QEBA?AVQString@@PEBD0H@Z
606718 : QtCore4.dll.?trUtf8@QMetaObject@@QEBA?AVQString@@PEBD0H@Z
606720 : QtCore4.dll.?connect@QObject@@SA_NPEBV1@PEBD01W4ConnectionType@Qt@@@Z
606728 : QtCore4.dll.?disconnect@QObject@@SA_NPEBV1@PEBD01@Z
606730 : QtCore4.dll.?height@QRect@@QEBAHXZ
606738 : QtCore4.dll.??0QRectF@@QEAA@NNNN@Z
606740 : QtCore4.dll.??1QObject@@UEAA@XZ
606748 : QtCore4.dll.??0QLineF@@QEAA@NNNN@Z
606750 : QtCore4.dll.?width@QRectF@@QEBANXZ
606758 : QtCore4.dll.?height@QRectF@@QEBANXZ
606760 : QtCore4.dll.?unicode@QChar@@QEAAAEAGXZ
606768 : QtCore4.dll.??1QString@@QEAA@XZ
606770 : QtCore4.dll.??0QString@@QEAA@XZ
606778 : QtCore4.dll.??0QRect@@QEAA@HHHH@Z
606780 : QtCore4.dll.??0QSize@@QEAA@XZ
606788 : QtCore4.dll.??4QString@@QEAAAEAV0@AEBV0@@Z
606790 : QtCore4.dll.??1QModelIndex@@QEAA@XZ
606798 : QtCore4.dll.??4QVariant@@QEAAAEAV0@AEBV0@@Z
6067a0 : QtCore4.dll.??1QObjectPrivate@@UEAA@XZ
6067a8 : QtCore4.dll.??0QRectF@@QEAA@XZ
6067b0 : QtCore4.dll.??0QObjectPrivate@@QEAA@H@Z
6067b8 : QtCore4.dll.??0QObjectPrivate@@QEAA@AEBV0@@Z
6067c0 : QtCore4.dll.??4QObjectPrivate@@QEAAAEAV0@AEBV0@@Z
6067c8 : QtCore4.dll.??0QSizeF@@QEAA@NN@Z
6067d0 : QtCore4.dll.?width@QSizeF@@QEBANXZ
6067d8 : QtCore4.dll.??0QSizeF@@QEAA@XZ
6067e0 : QtCore4.dll.?height@QSizeF@@QEBANXZ
6067e8 : QtCore4.dll.??0QRectF@@QEAA@AEBVQPointF@@AEBVQSizeF@@@Z
6067f0 : QtCore4.dll.??0QPointF@@QEAA@XZ
6067f8 : QtCore4.dll.??0QPoint@@QEAA@XZ
606800 : QtCore4.dll.?toAlignedRect@QRectF@@QEBA?AVQRect@@XZ
606808 : QtCore4.dll.??0QRectF@@QEAA@AEBVQRect@@@Z
606810 : QtCore4.dll.??1QEvent@@UEAA@XZ
606818 : QtCore4.dll.?sendEvent@QCoreApplication@@SA_NPEAVQObject@@PEAVQEvent@@@Z
606820 : QtCore4.dll.??0QEvent@@QEAA@W4Type@0@@Z
606828 : QtCore4.dll.?instance@QCoreApplication@@SAPEAV1@XZ
606830 : QtCore4.dll.?translate@QRect@@QEAAXAEBVQPoint@@@Z
606838 : QtCore4.dll.?topLeft@QRect@@QEBA?AVQPoint@@XZ
606840 : QtCore4.dll.?sendPostedEvents@QCoreApplication@@SAXPEAVQObject@@H@Z
606848 : QtCore4.dll.??1?$QVector@VQPoint@@@@QEAA@XZ
606850 : QtCore4.dll.??1?$QVector@VQPointF@@@@QEAA@XZ
606858 : QtCore4.dll.?isWidgetType@QObject@@QEBA_NXZ
606860 : QtCore4.dll.?width@QRect@@QEBAHXZ
606868 : QtCore4.dll.?parent@QObject@@QEBAPEAV1@XZ
606870 : QtCore4.dll.??0QRect@@QEAA@XZ
606878 : QtCore4.dll.?trimmed@QString@@QEBA?AV1@XZ
606880 : QtCore4.dll.?remove@QString@@QEAAAEAV1@HH@Z
606888 : QtCore4.dll.?at@QString@@QEBA?BVQChar@@H@Z
606890 : QtCore4.dll.??0QChar@@QEAA@UQLatin1Char@@@Z
606898 : QtCore4.dll.?size@QString@@QEBAHXZ
6068a0 : QtCore4.dll.?remove@QString@@QEAAAEAV1@AEBV1@W4CaseSensitivity@Qt@@@Z
6068a8 : QtCore4.dll.?fromLatin1@QString@@SA?AV1@PEBDH@Z
6068b0 : QtCore4.dll.?qt_metacast@QObject@@UEAAPEAXPEBD@Z
6068b8 : QtCore4.dll.?activate@QMetaObject@@SAXPEAVQObject@@PEBU1@HPEAPEAX@Z
6068c0 : QtCore4.dll.?size@QListData@@QEBAHXZ
6068c8 : QtCore4.dll.?ref@QBasicAtomicInt@@QEAA_NXZ
6068d0 : QtCore4.dll.?shared_null@QListData@@2UData@1@A
6068d8 : QtCore4.dll.?isEmpty@QListData@@QEBA_NXZ
6068e0 : QtCore4.dll.?addGuard@QMetaObject@@SAXPEAPEAVQObject@@@Z
6068e8 : QtCore4.dll.?removeGuard@QMetaObject@@SAXPEAPEAVQObject@@@Z
6068f0 : QtCore4.dll.?changeGuard@QMetaObject@@SAXPEAPEAVQObject@@PEAV2@@Z
6068f8 : QtCore4.dll.?shared_null@QMapData@@2U1@A
606900 : QtCore4.dll.?free@QVectorData@@SAXPEAU1@H@Z
606908 : QtCore4.dll.?x@QRect@@QEBAHXZ
606910 : QtCore4.dll.?y@QRect@@QEBAHXZ
606918 : QtCore4.dll.?width@QSize@@QEBAHXZ
606920 : QtCore4.dll.?height@QSize@@QEBAHXZ
606928 : QtCore4.dll.??4QLocale@@QEAAAEAV0@AEBV0@@Z
606930 : QtCore4.dll.?contains@QRect@@QEBA_NAEBVQPoint@@_N@Z
606938 : QtCore4.dll.?adjusted@QRect@@QEBA?AV1@HHHH@Z
606940 : QtCore4.dll.?isEmpty@QRectF@@QEBA_NXZ
606948 : QtCore4.dll.?at@QListData@@QEBAPEAPEAXH@Z
606950 : QtCore4.dll.?begin@QListData@@QEBAPEAPEAXXZ
606958 : QtCore4.dll.?end@QListData@@QEBAPEAPEAXXZ
606960 : QtCore4.dll.?continueFreeData@QMapData@@QEAAXH@Z
606968 : QtCore4.dll.?qFree@@YAXPEAX@Z
606970 : QtCore4.dll.?node_delete@QMapData@@QEAAXQEAPEAUNode@1@HPEAU21@@Z
606978 : QtCore4.dll.?node_create@QMapData@@QEAAPEAUNode@1@QEAPEAU21@HH@Z
606980 : QtCore4.dll.??0QLocale@@QEAA@XZ
606988 : QtCore4.dll.??0QVariant@@QEAA@XZ
606990 : QtCore4.dll.?qWarning@@YAXPEBDZZ
606998 : QtCore4.dll.?eventFilter@QObject@@UEAA_NPEAV1@PEAVQEvent@@@Z
6069a0 : QtCore4.dll.?timerEvent@QObject@@MEAAXPEAVQTimerEvent@@@Z
6069a8 : QtCore4.dll.?childEvent@QObject@@MEAAXPEAVQChildEvent@@@Z
6069b0 : QtCore4.dll.?customEvent@QObject@@MEAAXPEAVQEvent@@@Z
6069b8 : QtCore4.dll.?connectNotify@QObject@@MEAAXPEBD@Z
6069c0 : QtCore4.dll.?disconnectNotify@QObject@@MEAAXPEBD@Z
6069c8 : QtCore4.dll.??8QString@@QEBA_NAEBV0@@Z
6069d0 : QtCore4.dll.?replace@QString@@QEAAAEAV1@VQChar@@AEBVQLatin1String@@W4CaseSensitivity@Qt@@@Z
6069d8 : QtCore4.dll.??0QLatin1String@@QEAA@PEBD@Z
6069e0 : QtCore4.dll.?isEmpty@QString@@QEBA_NXZ
6069e8 : QtCore4.dll.??0QString@@QEAA@AEBV0@@Z
6069f0 : QtCore4.dll.?testAttribute@QCoreApplication@@SA_NW4ApplicationAttribute@Qt@@@Z
6069f8 : QtCore4.dll.?deref@QBasicAtomicInt@@QEAA_NXZ
606a00 : QtCore4.dll.?createData@QMapData@@SAPEAU1@H@Z
606a08 : QtCore4.dll.?cast@QMetaObject@@QEBAPEAVQObject@@PEAV2@@Z
606a10 : QtCore4.dll.?detach@QListData@@QEAAPEAUData@1@H@Z
606a18 : QtCore4.dll.?detach_grow@QListData@@QEAAPEAUData@1@PEAHH@Z
606a20 : QtCore4.dll.?erase@QListData@@QEAAPEAPEAXPEAPEAX@Z
606a28 : QtCore4.dll.??0QSize@@QEAA@HH@Z
606a30 : QtCore4.dll.?toRect@QRectF@@QEBA?AVQRect@@XZ
606a38 : QtCore4.dll.??0QObject@@IEAA@AEAVQObjectPrivate@@PEAV0@@Z
606a40 : QtCore4.dll.?setObjectName@QObject@@QEAAXAEBVQString@@@Z
606a48 : QtCore4.dll.?fromAscii@QString@@SA?AV1@PEBDH@Z
606a50 : QtCore4.dll.?event@QObject@@UEAA_NPEAVQEvent@@@Z
606a58 : QtCore4.dll.??1QByteArray@@QEAA@XZ
606a60 : QtCore4.dll.?constData@QByteArray@@QEBAPEBDXZ
606a68 : QtCore4.dll.?toLatin1@QString@@QEBA?AVQByteArray@@XZ
606a70 : QtCore4.dll.?type@QEvent@@QEBA?AW4Type@1@XZ
606a78 : QtCore4.dll.??9QBasicAtomicInt@@QEBA_NH@Z
606a80 : QtCore4.dll.?append@QListData@@QEAAPEAPEAXXZ
606a88 : QtCore4.dll.?remove@QListData@@QEAAXH@Z
606a90 : QtCore4.dll.?append2@QListData@@QEAAPEAPEAXAEBU1@@Z
606a98 : QtCore4.dll.??0QLocale@@QEAA@AEBV0@@Z
606aa0 : QtCore4.dll.??4QString@@QEAAAEAV0@$$QEAV0@@Z
606aa8 : QtCore4.dll.?qt_metacall@QObject@@UEAAHW4Call@QMetaObject@@HPEAPEAX@Z
606ab0 : QtCore4.dll.?staticMetaObject@QObject@@2UQMetaObject@@B
606ab8 : QtCore4.dll.?sender@QObject@@IEBAPEAV1@XZ
606ac0 : QtCore4.dll.??0QEvent@@QEAA@AEBV0@@Z
606ac8 : QtCore4.dll.??4QEvent@@QEAAAEAV0@AEBV0@@Z
606ad0 : QtCore4.dll.?size@QByteArray@@QEBAHXZ
606ad8 : QtCore4.dll.?isEmpty@QByteArray@@QEBA_NXZ
606ae0 : QtCore4.dll.?qstrcmp@@YAHAEBVQByteArray@@PEBD@Z
606ae8 : QtCore4.dll.??0QAtomicInt@@QEAA@AEBV0@@Z
606af0 : QtCore4.dll.??4QAtomicInt@@QEAAAEAV0@AEBV0@@Z
606af8 : QtCore4.dll.?handler@QVariant@@1PEBUHandler@1@EB
606b00 : QtCore4.dll.??_7QFactoryInterface@@6B@
606b08 : QtCore4.dll.??1QMutex@@QEAA@XZ
606b10 : QtCore4.dll.??8QString@@QEBA_NAEBVQLatin1String@@@Z
606b18 : QtCore4.dll.?exec@QCoreApplication@@SAHXZ
606b20 : QtCore4.dll.?setParent@QObject@@QEAAXPEAV1@@Z
606b28 : QtCore4.dll.?sendSpontaneousEvent@QCoreApplication@@CA_NPEAVQObject@@PEAVQEvent@@@Z
606b30 : QtCore4.dll.??0QLocale@@QEAA@W4Language@0@W4Country@0@@Z
606b38 : QtCore4.dll.?checkInstance@QCoreApplicationPrivate@@SA_NPEBD@Z
606b40 : QtCore4.dll.?qt_metacast@QCoreApplication@@UEAAPEAXPEBD@Z
606b48 : QtCore4.dll.?shared_null@QHashData@@2U1@A
606b50 : QtCore4.dll.?shared_null@QVectorData@@2U1@A
606b58 : QtCore4.dll.?nextNode@QHashData@@SAPEAUNode@1@PEAU21@@Z
606b60 : QtCore4.dll.??8QBasicAtomicInt@@QEBA_NH@Z
606b68 : QtCore4.dll.?qRealloc@@YAPEAXPEAX_K@Z
606b70 : QtCore4.dll.?getAndRef@ExternalRefCountData@QtSharedPointer@@SAPEAU12@PEBVQObject@@@Z
606b78 : QtCore4.dll.??0QByteArray@@QEAA@AEBV0@@Z
606b80 : QtCore4.dll.?qBadAlloc@@YAXXZ
606b88 : QtCore4.dll.?allocate@QVectorData@@SAPEAU1@HH@Z
606b90 : QtCore4.dll.?translated@QRect@@QEBA?AV1@AEBVQPoint@@@Z
606b98 : QtCore4.dll.??0QSharedData@@QEAA@XZ
606ba0 : QtCore4.dll.??0QSharedData@@QEAA@AEBV0@@Z
606ba8 : QtCore4.dll.?firstNode@QHashData@@QEAAPEAUNode@1@XZ
606bb0 : QtCore4.dll.?constData@QVariant@@QEBAPEBXXZ
606bb8 : QtCore4.dll.?userType@QVariant@@QEBAHXZ
606bc0 : QtCore4.dll.?free_helper@QHashData@@QEAAXP6AXPEAUNode@1@@Z@Z
606bc8 : QtCore4.dll.?qMemSet@@YAPEAXPEAXH_K@Z
606bd0 : QtCore4.dll.??4QBasicAtomicInt@@QEAAAEAV0@H@Z
606bd8 : QtCore4.dll.?reallocate@QVectorData@@SAPEAU1@PEAU1@HHH@Z
606be0 : QtCore4.dll.?detach_helper2@QHashData@@QEAAPEAU1@P6AXPEAUNode@1@PEAX@ZP6AX0@ZHH@Z
606be8 : QtCore4.dll.?allocateNode@QHashData@@QEAAPEAXH@Z
606bf0 : QtCore4.dll.?qHash@@YAIAEBVQByteArray@@@Z
606bf8 : QtCore4.dll.??4QAtomicInt@@QEAAAEAV0@H@Z
606c00 : QtCore4.dll.?postEvent@QCoreApplication@@SAXPEAVQObject@@PEAVQEvent@@@Z
